pt,eta,phi,charge,pos_x,pos_y,pos_z,particle_type,event_id
1.24323,1.27021,-0.917304,-1.0,0.000848155,0.00071926,-0.0878426,track,652620608
0.979539,0.571691,-0.731408,1.0,0.000577402,0.00045031,-0.00178266,track,652620608
1.04346,-1.63085,-0.659705,1.0,0.000751567,0.000662709,-0.0837776,track,652620608
1.23629,-0.79668,-0.514252,1.0,0.000740485,0.000642292,-0.00173133,track,652620608
0.96766,0.246113,-0.556941,-1.0,0.000770372,0.000669273,0.0928564,track,652620608
4.50695,-1.52155,-0.485943,-1.0,0.000702904,0.000583232,-0.0477276,track,652620608
1.64317,0.0137992,-0.491985,-1.0,0.000673029,0.000535793,-0.0835075,track,652620608
1.59692,-2.17912,-0.459527,-1.0,0.000745588,0.00064318,0.0557689,track,652620608
1.01386,-1.55352,-0.323942,1.0,0.000757972,0.000698361,0.0451935,track,652620608
1.2596,1.15361,-0.225879,1.0,0.000726446,0.000579856,0.0928514,track,652620608
1.25807,-2.12086,-0.135474,1.0,0.000735057,0.000650847,0.0529345,track,652620608
0.839089,-0.845274,0.0325422,1.0,0.00070449,0.00101143,-0.0856774,track,652620608
0.839978,1.65615,0.0568016,-1.0,0.000717966,0.000602381,-0.0882155,track,652620608
12.3551,0.654215,0.155975,-1.0,0.000725042,0.000589131,-0.0475924,track,652620608
0.857994,-1.17685,0.11032,-1.0,0.000706374,0.000730665,-0.0678541,track,652620608
1.91051,0.791522,0.176024,-1.0,0.000715092,0.000648281,-0.0475642,track,652620608
1.08494,-2.10902,0.177637,-1.0,0.000702572,0.000763524,0.0534541,track,652620608
1.66435,0.870228,0.297601,1.0,0.000712996,0.000641867,-0.0477223,track,652620608
