pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id
10.3202,-3.61823,-0.272992,0.0,,,,,,,tau,652620608
11.0971,3.74887,1.63194,0.0,,,,,,,tau,652620608
12.2374,-2.79685,-1.38974,0.0,,,,,,,tau,652620608
12.8474,-0.425007,-2.08796,0.0,,,,,,,tau,652620608
13.8632,1.83426,2.67726,0.0,,,,,,,tau,652620608
17.151,0.883025,-2.76786,0.0,,,,,,,tau,652620608
8.42088,1.5004,-0.944745,0.0,,,,,,,tau,652620608
5.95769,0.201708,0.770011,0.0,,,,,,,tau,652620608
8.2078,3.99915,-1.03015,0.0,,,,,,,tau,652620608
8.00911,-3.11832,1.90158,0.0,,,,,,,tau,652620608
7.69341,3.33529,-2.34565,0.0,,,,,,,tau,652620608
4.82076,3.64557,2.83491,0.0,,,,,,,tau,652620608
4.44508,-2.49693,1.0443,0.0,,,,,,,tau,652620608
4.2477,-4.85121,2.81008,0.0,,,,,,,tau,652620608
4.15002,1.24971,-1.71888,0.0,,,,,,,tau,652620608
4.12505,3.55511,-1.69461,0.0,,,,,,,tau,652620608
4.05771,4.20656,-2.55072,0.0,,,,,,,tau,652620608
4.02258,3.57749,1.00292,0.0,,,,,,,tau,652620608
4.46406,-0.33728,-2.90963,0.0,,,,,,,tau,652620608
4.484,2.83918,-0.124573,0.0,,,,,,,tau,652620608
4.52697,-4.06712,-0.968116,0.0,,,,,,,tau,652620608
3.87891,2.28302,1.14801,0.0,,,,,,,tau,652620608
3.80185,-4.72589,-2.52364,0.0,,,,,,,tau,652620608
3.48628,-3.46918,-2.80705,0.0,,,,,,,tau,652620608
5.11487,-4.60565,0.75952,0.0,,,,,,,tau,652620608
5.14488,3.05615,2.3368,0.0,,,,,,,tau,652620608
5.35333,4.51593,-1.99716,0.0,,,,,,,tau,652620608
5.62136,-3.58349,2.70934,0.0,,,,,,,tau,652620608
5.86144,-4.10917,1.60665,0.0,,,,,,,tau,652620608
3.09384,-4.37416,-1.73745,0.0,,,,,,,tau,652620608
3.15589,-0.469672,-1.15787,-1.0,,,,,,,tau,652620608
1.59583,0.333898,-1.77136,1.0,,,,,,,tau,652620608
1.97828,2.7455,2.98716,-1.0,,,,,,,tau,652620608
3.1335,-0.572341,0.405339,-1.0,,,,,,,tau,652620608
4.02922,-1.79147,1.66096,-1.0,,,,,,,tau,652620608
3.59684,-1.19228,-1.54097,-1.0,,,,,,,tau,652620608
2.13931,-1.4459,-2.36832,1.0,,,,,,,tau,652620608
1.98825,-2.02122,0.56702,1.0,,,,,,,tau,652620608
4.50695,-1.52155,-0.485943,-1.0,,,,,,,tau,652620608
1.62073,1.69949,1.77908,1.0,,,,,,,tau,652620608
1.89362,0.842259,1.94853,-1.0,,,,,,,tau,652620608
1.46221,1.63126,0.527288,1.0,,,,,,,tau,652620608
3.12798,-0.550311,2.97248,1.0,,,,,,,tau,652620608
3.73546,1.27977,1.39975,-1.0,,,,,,,tau,652620608
1.18204,-0.874157,-2.75964,1.0,,,,,,,tau,652620608
1.59692,-2.17912,-0.459527,-1.0,,,,,,,tau,652620608
3.81676,-0.491143,1.02482,-1.0,,,,,,,tau,652620608
0.955404,-2.01303,-1.59558,-1.0,,,,,,,tau,652620608
0.857994,-1.17685,0.11032,-1.0,,,,,,,tau,652620608
2.0517,-2.05454,-2.23349,-1.0,,,,,,,tau,652620608
0.849399,0.79118,1.04592,-1.0,,,,,,,tau,652620608
1.37519,-1.6323,2.02698,-1.0,0.000743633,0.00062604,-0.0256399,,,,muon,652620608
1.61969,-1.47051,-2.37353,1.0,0.0275379,-0.0271289,0.100175,,,,muon,652620608
37.2752,0.312086,-0.738311,,0.00070572,0.000610879,-0.0616836,,,,photon,272621358
30.0835,-1.37033,1.9587,,0.00070572,0.000610879,-0.0616836,,,,photon,272621358
13.1097,-1.31455,1.95949,,0.00070572,0.000610879,-0.0616836,,,,photon,272621358
1.18534,1.6106,-3.04502,1.0,0.000720248,0.000677389,0.00831208,-0.382412,-0.0370461,0.923249,track,272621358
0.832369,-0.997511,-2.93189,1.0,0.000717617,0.00061792,-0.0617853,-0.635059,-0.135163,-0.760547,track,272621358
1.18124,1.98812,-2.91663,1.0,0.00068228,0.000795926,-0.00872099,-0.262087,-0.0599762,0.963179,track,272621358
0.834889,0.388824,-2.84029,-1.0,0.000759901,0.000526244,0.082499,-0.887049,-0.275659,0.370346,track,272621358
0.784938,0.474186,-2.54543,1.0,0.000642366,0.000726786,-0.0386926,-0.742451,-0.503764,0.441576,track,272621358
0.779794,1.50075,-2.09268,1.0,0.000491636,0.000742648,-0.0244206,-0.211773,-0.368259,0.905283,track,272621358
