eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,event_id
4.3843,-0.419926,4.6258,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
3.99402,-0.993022,4.55624,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-0.0247398,-0.14377,4.29615,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_1357605031
-1.5716,-2.61984,1.79756,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.977123,,-999.0,0,0,,,1,Event_1357605031
2.21633,-0.608475,0.670243,-1,0.0,0.0,0.497964,0.563609,0.774278,0.774278,0.0,1.0,,-999.0,0,0,,,1,Event_1357605031
1.8042,0.433215,2.62115,1,0.0,0.0,1.56223,0.0,0.613599,0.613599,0.613599,0.0,,-999.0,0,0,,,1,Event_1357605031
-2.36971,2.72133,2.28217,1,0.0,0.0,1.13741,0.11953,1.40309,0.517946,0.500509,0.19048,,-999.0,0,0,,,1,Event_1357605031
2.38685,-2.71389,2.03641,1,0.0,0.0,3.77072,0.12023,10.3672,3.43849,3.88531,1.4168,,-999.0,0,0,,,1,Event_1357605031
-1.34026,-3.13229,0.793765,1,0.527573,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,-999.0,0,0,,,1,Event_1357605031
-1.91205,2.97455,1.37503,-1,0.0,0.584983,3.8843,0.164196,4.44253,3.38192,4.44253,0.270276,,-999.0,0,0,,,1,Event_1357605031
-1.051,-2.34666,1.58963,1,0.862343,0.0,1.58907,0.578768,1.29315,0.836783,0.0,1.0,,-999.0,0,0,,,1,Event_1357605031
-1.87865,1.6786,0.757412,1,0.891659,0.0,0.656982,0.450901,0.942739,0.942739,0.0,0.0,,-999.0,0,0,,,1,Event_1357605031
1.70517,2.69394,2.46983,1,1.20466,0.0,1.45274,0.0473929,1.21898,0.701389,0.701389,0.0,,-999.0,0,0,,,1,Event_1357605031
0.738586,-0.97137,2.14528,-1,0.0,1.23287,0.0,1.0,0.0,0.0,0.0,0.0,,-999.0,0,0,,,1,Event_1357605031
-0.0648303,2.27175,2.61388,-1,0.0,2.42501,0.813948,0.81688,0.496832,0.496832,0.496832,1.11884,,-999.0,0,0,,,1,Event_1357605031
1.2873,-1.13384,1.36368,1,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,-999.0,0,0,,,1,Event_137440354
2.09146,2.58681,1.07739,-1,0.0,0.0,1.04957,0.0,1.57828,0.992695,0.992695,0.0,,-999.0,0,0,,,1,Event_137440354
0.0214698,-1.23997,21.2761,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.01552,,0.877614,1,0,,,1,Event_137440354
-0.355803,2.41116,11.6934,-1,0.634434,0.808086,1.00825,0.897491,0.139208,0.091345,0.0,1.2188,,0.822311,1,0,,,1,Event_137440354
-0.852283,1.82177,43.3751,1,0.634434,1.1504,0.763333,0.478351,0.0332278,0.0244214,0.0,0.00581168,,-999.0,0,1,,,1,Event_137440354
-2.02068,-1.20971,23.8616,-1,0.0,2.18898,0.0,1.0,0.0,0.0,0.0,0.0670135,,-999.0,0,1,,,1,Event_137440354
-0.934601,-0.177735,1.95936,1,0.519206,3.69004,2.23493,0.59492,1.32979,0.955745,0.0,1.59894,,-999.0,0,0,,,1,Event_137440354
0.0714421,-2.86101,2.35349,1,1.92721,3.27243,2.20065,0.577145,1.32575,0.936707,0.936707,0.878154,,-999.0,0,0,,,1,Event_137440354
1.34187,2.79223,4.23966,-1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.244166,,-999.0,0,0,,,1,Event_137440354
-2.21266,0.693667,2.66698,1,0.0,0.0,2.5164,0.188182,3.73715,2.06038,0.880836,0.866285,,-999.0,0,0,,,1,Event_137440354
1.07184,-1.86674,3.54314,-1,0.0,0.0,1.10279,0.589857,1.72668,0.893094,0.0,1.0,,-999.0,0,0,,,1,Event_137440354
-0.990855,-0.88356,5.25309,-1,0.519745,0.0,0.556316,0.84223,0.556618,0.308982,0.0,2.89941,,-999.0,0,0,,,1,Event_137440354
0.20024,-0.143733,4.54354,-1,0.0,1.95475,0.0,1.0,0.0,0.0,0.0,0.953219,,-999.0,0,0,,,1,Event_137440354
-0.413818,1.24391,4.34287,-1,0.0,3.34618,0.835678,0.89306,1.00505,1.00505,1.00505,0.0,,-999.0,0,0,,,1,Event_137440354
-0.425133,-0.368751,2.95939,-1,1.51423,2.33998,2.23493,0.317487,3.86278,2.00771,0.0,0.0,,-999.0,0,0,,,1,Event_137440354
-0.31074,0.51446,7.35389,1,1.92643,3.02065,1.96635,0.809995,0.844077,0.844077,0.844077,1.63198,,-999.0,0,0,,,1,Event_137440354
4.45616,-1.85498,6.91287,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
2.09097,-0.761492,7.13588,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
0.814798,-2.99755,13.7699,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
2.91254,-1.29077,13.8618,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
